medicine_id,drug_id,amount,unit
763,1,100,mg
764,647,20,mg
765,648,5,mg
765,459,0.5,mg
766,523,0.03,mg
766,649,0.15,mg
767,523,0.03,mg
767,524,0.15,mg
768,650,200,mg
769,284,145,mg
770,651,200,mg
771,652,27.5,mcg
772,529,100,mg
773,653,5,mg
774,654,100,mg
775,655,200,mg
776,656,1000,mg
776,42,500,mg
777,63,500,mg
778,657,4,mg
779,556,7.5,mg
780,658,200,mg
781,343,250,mg
782,286,20,mg
782,165,5,mg
782,185,12.5,mg
783,280,20,mg
783,185,12.5,mg
784,568,60,mg
785,659,10,mg
786,390,75,mg
786,596,10,mg
787,573,25,mg
788,660,75,mg
788,276,10,mg
789,276,10,mg
789,172,75,mg
790,661,2,%w/w
791,662,400,mg
792,191,40,mg
792,165,5,mg
792,185,12.5,mg
793,191,40,mg
793,277,6.25,mg
794,663,1000,mcg
795,664,4,mg
796,665,50,mg
797,666,48,mg
797,667,90,mg
797,668,100,mg
798,669,8/1,mg/ml
799,670,0.3,%w/v
800,671,500,mg
801,672,50,mg
802,226,500,mg
802,29,2,mg
802,591,0.2,mg
803,673,250,g
805,674,300,g
806,674,100,g
807,674,500,g
810,675,250,g
811,676,100,mg
813,677,250/5,mg/ml
814,678,400,mg
815,679,100,mg
816,334,100,mg
817,680,1.25,mg
817,681,15,mg
817,414,50/5,mg/ml
818,682,3,g
819,240,200,mg
820,683,1,%w/w
821,465,0.9,%w/v
824,684,50,mg
825,685,50,mg
825,226,500,mg
826,685,50,mg
826,226,1000,mg
829,673,250,g
830,673,250,g
832,675,250,g
833,686,100,ml
834,686,500,ml
835,686,250,ml
836,335,400,mg
837,687,100,mg
838,100,500,mg
838,29,0.5,mg
839,100,1000,mg
839,29,1,mg
840,100,1000,mg
840,29,3,mg
841,100,1000,mg
841,29,4,mg
842,688,1200,mg
843,689,2.5,%w/v
844,229,25,mg
845,359,100,mg
845,358,600,mg
846,690,200,mg
847,1,200,mg
847,435,20,mg
848,1,100,mg
848,2,325,mg
848,338,4,mg
849,1,100,mg
849,2,325,mg
849,691,2,mg
850,245,400,mg
851,692,25,mg
852,693,100,mg
853,694,100,mg
854,271,100,mg
855,282,5,mg
855,695,5,mg
856,696,0.25,%w/w
857,30,400,mg
857,31,57,mg
858,30,80,mg
858,31,11.4,mg
859,30,250,mg
859,697,250,mg
859,698,2.5,billion
860,699,250,mg
860,33,250,mg
861,699,250,mg
861,700,250,mg
862,701,300,mcg
864,702,10,mg
865,702,20,mg
866,702,30,mg
867,261,10,mg
867,173,150,mg
868,261,20,mg
868,172,75,mg
869,261,20,mg
869,172,75,mg
869,173,75,mg
870,703,40,mg
870,277,6.25,mg
871,704,40,mg
871,277,12.5,mg
872,705,40,mg
873,18,200,mg
874,78,0.025,%w/w
874,76,1,%w/w
875,78,0.025,%w/v
875,76,1,%w/v
876,706,10,mg
877,199,16,mg
878,199,24,mg
879,299,0.12,%w/w
879,707,0.1,%w/w
879,708,2,%w/w
880,709,20,mg
881,710,0.01,%w/v
882,710,0.03,%w/v
883,695,2.5,mg
884,711,0.2,%w/v
884,712,0.5,%w/v
885,713,0.1,%w/v
886,378,0.25,mcg
886,142,200,mg
888,714,250,mg
888,378,0.25,mcg
888,715,50,mcg
889,142,500,mg
889,143,500,iu
890,142,1250,mg
890,378,0.25,mcg
890,715,45,mcg
892,716,25,mg
892,2,300,mg
893,717,100,mg
893,718,4000,mcg
893,719,70,mcg
894,720,1,%w/v
895,40,100/5,mg/ml
896,40,25/1,mg/ml
897,41,1,g
897,42,500,mg
898,41,2,g
898,42,1,g
899,48,100,mg
900,50,250,mg
900,51,31.25,mg
901,52,2,g
902,721,750,mg
903,722,30,mg
904,723,250,mg
905,723,500,mg
906,312,5,mg
906,724,12.5,mg
907,725,60000,iu
908,509,10,mg
909,509,5,mg
910,726,40,mg
910,727,3,mg
911,597,75,mg
912,55,0.3,%w/v
912,447,0.1,%w/v
913,728,500,mg
913,570,800,mg
914,313,2.5,mg
914,312,5,mg
914,120,10,mg
915,729,1,%w/w
915,386,4,%w/w
916,595,10,mg
917,409,0.05,%w/w
917,707,0.1,%w/w
918,409,0.05,%w/w
918,708,2,%w/w
919,409,0.05,%w/w
919,730,0.5,%w/w
920,409,0.05,%w/w
920,395,3,%w/w
921,409,0.05,%w/w
921,395,6,%w/w
922,409,0.05,%w/w
922,707,0.1,%w/w
922,708,2,%w/w
923,172,75,mg
923,173,150,mg
924,76,1,%w/v
924,731,2.5,%w/v
925,732,1,%w/v
926,717,10,l
929,733,12.5/5,mg/ml
930,734,40,mg
930,735,30,mg
930,736,200,mg
930,737,35,mg
931,738,110,mg
932,738,150,mg
933,739,10,mg
934,740,5,mg
934,638,10,mg
935,741,1.16,%w/w
935,742,0.125,%w/w
935,419,3,%w/w
935,743,10,%w/w
935,346,5,%w/w
936,399,50,mg
936,744,400,mg
937,745,75,mg
938,318,170,mg
938,746,65,mg
939,747,120,mg
940,748,2.5,mg
940,749,0.025,mg
941,750,500,mg
942,751,2,%w/v
942,752,0.5,%w/v
943,753,2,%w/v
944,754,25,mg
945,755,75,mg
946,520,80,mg
947,756,600,mg
947,757,200,mg
947,758,300,mg
948,759,10,mg
949,759,25,mg
950,757,200,mg
950,758,300,mg
951,760,0.5,mg
952,761,25,mg
953,762,500,mg
954,763,60,mg
954,2,325,mg
955,763,60,mg
955,338,4,mg
956,764,1000,mg
957,764,500,mg
958,326,100,mg
958,146,1.5,mg
958,765,22.5,mg
960,432,0.5,mg
960,766,10,mg
961,767,0.05,%
962,768,6,mcg
962,352,200,mcg
963,768,6,mcg
963,352,400,mcg
964,768,12,mcg
964,352,400,mcg
965,768,6,mcg
965,352,400,mcg
966,768,20,mcg
966,352,0.5,mg
967,768,20,mcg
967,352,1,mg
968,768,6,mcg
968,364,250,mcg
969,769,1,%
971,770,180,mg
971,771,60,mg
971,772,75,mg
972,773,2,%w/w
972,299,0.1,%w/w
973,528,100,mg
973,774,10,mg
974,528,300,mg
974,382,500,mcg
975,775,100,iu
976,455,5,mg
976,100,500,mg
976,99,15,mg
977,630,60,mg
977,100,500,mg
978,100,500,mg
978,29,2,mg
978,99,15,mg
979,100,850,mg
979,29,3,mg
980,426,750,mg
980,508,100,mg
981,356,50,mg
981,680,1.25,mg
981,413,2,mg
982,776,5,%
983,777,16.5,%
984,778,0.3,%w/v
985,779,25,mg
986,780,10,mg
986,256,250,mg
987,15,100,mg
987,781,162.5,mg
988,782,110,mcg
988,783,50,mcg
989,622,100,mg
989,146,1.5,mg
989,634,15,mcg
990,784,20,mg
990,785,37.5,mg
991,786,20,mg
992,787,5,mg
993,788,2,%
994,789,2.8,mg
994,790,25,mg
